Location,Site,date,year,time,depth,transect,width,Family,Functional Group,species,length,number,a,b,Biomass,Total Biomass(kg)
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Labridae,Picker,hem.melt,28,1,0.0242,2.923,411.0,0.4110
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Chaetodontidae,Grazer,cha.klei,8,3,0.045,2.814,15.6,0.0469
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Chaetodontidae,Grazer,cha.klei,10,3,0.045,2.814,29.3,0.0880
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Chaetodontidae,Grazer,cha.raff,12,2,0.045,2.814,49.0,0.0980
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Chaetodontidae,Grazer,cha.baro,14,2,0.045,2.814,75.6,0.1512
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,chs.micr,25,1,0.0182,3.03,313.2,0.3132
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,chs.sord,27,1,0.0243,2.969,431.8,0.4318
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,chs.sord,28,1,0.0243,2.969,481.1,0.4811
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,chs.sord,20,1,0.0243,2.969,177.2,0.1772
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,sca.psit,16,8,0.0105,3.319,104.2,0.8332
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,sca.psit,22,1,0.0105,3.319,299.7,0.2997
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,sca.psit,12,1,0.0105,3.319,40.1,0.0401
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,sca.nigr,26,1,0.0134,3.16,396.7,0.3967
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,sca.nigr,30,1,0.0134,3.16,623.5,0.6235
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,sca.tric,24,1,0.0234,2.956,281.3,0.2813
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,sca.tric,27,1,0.0234,2.956,398.4,0.3984
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,sca.tric,20,1,0.0234,2.956,164.1,0.1641
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Scaridae,Grazer,sca.rubr,33,1,0.0234,2.956,721.0,0.7210
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,nas.unic,28,1,0.0179,3.035,441.5,0.4415
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,cte.stri,22,17,0.0231,3.063,298.8,5.0804
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,cte.stri,16,16,0.0231,3.063,112.7,1.8028
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,cte.stri,18,1,0.0231,3.063,161.6,0.1616
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,cte.stri,15,1,0.0231,3.063,92.5,0.0925
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,zeb.scop,14,2,0.0291,2.993,78.4,0.1568
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,aca.line,25,4,0.028,2.983,414.2,1.6568
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,aca.nuda,28,1,0.0168,3.168,645.5,0.6455
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,aca.mata,25,8,0.0222,3.008,355.9,2.8474
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,aca.pyro,20,6,0.028,2.983,212.9,1.2773
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,aca.pyro,22,3,0.028,2.983,282.9,0.8486
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,nas.litu,22,1,0.0085,3.25,196.0,0.1960
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,nas.litu,20,1,0.0085,3.25,143.8,0.1438
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,nas.litu,25,1,0.0085,3.25,297.0,0.2970
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,nas.litu,28,1,0.0085,3.25,429.2,0.4292
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,nas.litu,18,1,0.0085,3.25,102.1,0.1021
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,nas.vlam,38,1,0.0085,3.25,1158.0,1.1580
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,nas.vlam,40,1,0.0085,3.25,1368.1,1.3681
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,nas.vlam,21,1,0.0085,3.25,168.5,0.1685
Adara,Site 1,03/12/16,2016,1130,5-10m,2,5,Acanthuridae,Grazer,nas.vlam,28,1,0.0085,3.25,429.2,0.4292
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Lutjanidae,Piscivore,lut.boha,25,1,0.0156,3.059,294.7,0.2947
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Lutjanidae,Piscivore,lut.boha,30,1,0.0156,3.059,514.8,0.5148
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Serranidae,Piscivore,cep.urod,16,1,0.0282,2.818,69.7,0.0697
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Serranidae,Piscivore,cep.urod,18,1,0.0282,2.818,97.2,0.0972
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Serranidae,Piscivore,cep.urod,20,1,0.0282,2.818,130.8,0.1308
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Lethrinidae,Planktivore,mon.gran,26,1,0.023,3.022,434.3,0.4343
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Balistidae,Planktivore,mel.nige,20,26,0.0374,2.919,234.7,6.1031
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Balistidae,Planktivore,mel.nige,22,25,0.0374,2.919,310.0,7.7507
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Lutjanidae,planktivore,mcr.macu,33,1,0.0156,3.059,689.1,0.6891
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Lutjanidae,planktivore,mcr.macu,35,1,0.0156,3.059,825.0,0.8250
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Lutjanidae,planktivore,mcr.macu,28,1,0.0156,3.059,416.9,0.4169
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Chaetodontidae,Grazer,cha.klei,9,3,0.045,2.814,21.8,0.0654
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Chaetodontidae,Grazer,cha.klei,8,3,0.045,2.814,15.6,0.0469
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Scaridae,Grazer,chs.micr,35,1,0.0182,3.03,868.2,0.8682
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Scaridae,Grazer,chl.sord,32,1,0.0243,2.969,715.1,0.7151
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Scaridae,Grazer,sca.rubr,40,1,0.0234,2.956,1273.2,1.2732
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Scaridae,Grazer,sca.rubr,35,1,0.0234,2.956,858.0,0.8580
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Scaridae,Grazer,sca.rubr,36,1,0.0234,2.956,932.5,0.9325
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grazer,nas.unic,26,1,0.0179,3.035,352.6,0.3526
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grubber,cte.stri,15,22,0.0231,3.063,92.5,2.0342
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grubber,cte.stri,18,4,0.0231,3.063,161.6,0.6465
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grubber,zeb.scop,12,3,0.0291,2.993,49.4,0.1483
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Balistidae,Picker,blp.undu,20,1,0.0374,2.919,234.7,0.2347
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Balistidae,Picker,blp.undu,18,1,0.0374,2.919,172.6,0.1726
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grazer,aca.line,25,6,0.028,2.983,414.2,2.4852
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grazer,aca.nuda,25,3,0.0168,3.168,450.8,1.3524
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Planktivore,aca.mata,25,1,0.0222,3.008,355.9,0.3559
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Planktivore,aca.mata,28,1,0.0222,3.008,500.5,0.5005
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Planktivore,aca.mata,26,1,0.0222,3.008,400.5,0.4005
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grazer,nas.litu,30,8,0.0085,3.25,537.1,4.2969
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grazer,nas.litu,30,3,0.0085,3.25,537.1,1.6113
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grazer,nas.litu,24,1,0.0085,3.25,260.1,0.2601
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grazer,nas.litu,25,1,0.0085,3.25,297.0,0.2970
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Grazer,aca.pyro,16,8,0.028,2.983,109.4,0.8753
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Planktivore,nas.vlam,22,10,0.0085,3.25,196.0,1.9602
Adara,Site 1,03/12/16,2016,1130,5-10m,3,5,Acanthuridae,Planktivore,nas.vlam,25,11,0.0085,3.25,297.0,3.2668
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Piscivore,lut.decu,30,1,0.0151,3.057,494.9,0.4949
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Piscivore,lut.decu,28,1,0.0151,3.057,400.8,0.4008
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Piscivore,lut.boha,30,6,0.0156,3.059,514.8,3.0888
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Piscivore,lut.boha,35,1,0.0156,3.059,825.0,0.8250
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Piscivore,lut.boha,40,1,0.0156,3.059,1241.2,1.2412
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Piscivore,lut.boha,38,1,0.0156,3.059,1060.9,1.0609
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Serranidae,Piscivore,epi.fasc,33,1,0.0138,3.041,572.4,0.5724
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Serranidae,Piscivore,epi.fasc,35,1,0.0138,3.041,684.5,0.6845
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Serranidae,Piscivore,cep.argu,35,1,0.0093,3.181,758.9,0.7589
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lethrinidae,Planktivore,mon.gran,30,1,0.023,3.022,669.2,0.6692
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lethrinidae,Planktivore,mon.gran,28,3,0.023,3.022,543.3,1.6299
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Balistidae,Planktivore,mel.nige,24,26,0.0374,2.919,399.7,10.3916
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Balistidae,Planktivore,mel.nige,22,20,0.0374,2.919,310.0,6.2006
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Planktivore,mcr.macu,30,1,0.0156,3.059,514.8,0.5148
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Planktivore,mcr.macu,33,1,0.0156,3.059,689.1,0.6891
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Planktivore,mcr.macu,35,1,0.0156,3.059,825.0,0.8250
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Piscivore,aph.furc,32,1,0.0258,2.947,703.6,0.7036
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Lutjanidae,Piscivore,aph.furc,28,1,0.0258,2.947,474.7,0.4747
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,planktivore,nas.hexa,35,3,0.0202,2.956,740.7,2.2220
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,planktivore,nas.hexa,30,1,0.0202,2.956,469.6,0.4696
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Scaridae,grazer,sca.pras,35,1,0.0184,3.029,874.6,0.8746
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Chaetodontidae,Grazer,cha.auri,18,1,0.0404,2.829,143.7,0.1437
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Chaetodontidae,Grazer,cha.klei,10,3,0.045,2.814,29.3,0.0880
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Chaetodontidae,Grazer,cha.spec,15,1,0.045,2.814,91.8,0.0918
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Chaetodontidae,Grazer,cha.vaga,15,1,0.0278,2.973,87.2,0.0872
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Chaetodontidae,Grazer,cha.vaga,14,1,0.0278,2.973,71.0,0.0710
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Scaridae,Grazer,chs.micr,45,1,0.0182,3.03,1859.1,1.8591
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Scaridae,Grazer,sca.rubr,45,1,0.0234,2.956,1803.5,1.8035
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Scaridae,Grazer,sca.rubr,30,1,0.0234,2.956,544.0,0.5440
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Scaridae,Grazer,sca.rubr,25,1,0.0234,2.956,317.3,0.3173
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,Grubber,cte.stri,12,10,0.0231,3.063,46.7,0.4668
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,Grubber,cte.stri,15,18,0.0231,3.063,92.5,1.6644
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,Grubber,cte.stri,18,4,0.0231,3.063,161.6,0.6465
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Balistidae,Grazer,blp.undu,20,1,0.0374,2.919,234.7,0.2347
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,grazer,aca.line,25,24,0.028,2.983,414.2,9.9409
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,planktivore,aca.mata,28,6,0.0251,3.032,613.0,3.6780
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,Planktivore,nas.vlam,45,1,0.0085,3.25,2006.1,2.0061
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,Planktivore,nas.vlam,35,10,0.0085,3.25,886.4,8.8642
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,Planktivore,nas.vlam,28,10,0.0085,3.25,429.2,4.2922
Adara,Site 1,03/12/16,2016,1130,5-10m,4,5,Acanthuridae,Planktivore,nas.vlam,30,6,0.0085,3.25,537.1,3.2227
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Planktivore,tha.ambl,10,30,0.0123,3.097,15.4,0.4613
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Picker,tha.jans,13,8,0.0123,3.097,34.7,0.2773
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Picker,lab.dimi,6,1,0.0059,3.231,1.9,0.0019
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Picker,tha.luna,12,2,0.0211,2.832,24.0,0.0480
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Picker,tha.luna,18,1,0.0211,2.832,75.7,0.0757
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Picker,tha.luna,8,2,0.0211,2.832,7.6,0.0152
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Picker,tha.luna,10,2,0.0211,2.832,14.3,0.0287
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Picker,tha.luna,6,3,0.0211,2.832,3.4,0.0101
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Anthiidae,Planktivore,psa.squa,12,8,0.0137,3.149,34.3,0.2743
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Anthiidae,Planktivore,psa.squa,10,6,0.0137,3.149,19.3,0.1158
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Anthiidae,Planktivore,psa.squa,8,48,0.0137,3.149,9.6,0.4590
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Picker,bod.dian,16,1,0.0108,3.173,71.5,0.0715
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Planktivore,cir.aura,8,4,0.0226,2.793,7.5,0.0301
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Labridae,Picker,hal.hort,18,1,0.016,2.987,89.9,0.0899
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Grazer,pgy.lacr,11,1,0.0395,2.989,51.2,0.0512
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Grazer,pgy.lacr,8,1,0.0395,2.989,19.8,0.0198
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,pom.phil,8,3,0.028,3.024,15.1,0.0452
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,pom.lepi,8,1,0.0215,3.21,17.0,0.0170
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,pom.auri,5,6,0.028,3.024,3.6,0.0218
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,pom.coel,7,16,0.028,3.024,10.1,0.1610
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,pom.coel,6,7,0.028,3.024,6.3,0.0442
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,amb.aure,10,1,0.0126,3.435,34.3,0.0343
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,chr.marg,5,10,0.0229,3.175,3.8,0.0379
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,chr.marg,6,10,0.0229,3.175,6.8,0.0677
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,chr.marg,7,6,0.0229,3.175,11.0,0.0662
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,chr.marg,8,16,0.0229,3.175,16.9,0.2699
Adara,Site 1,03/12/16,2016,1130,5-10m,1,1,Pomacentridae,Planktivore,acn.poly,12,4,0.0144,3.33,56.5,0.2260
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Planktivore,tha.ambl,10,60,0.0123,3.097,15.4,0.9227
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Picker,tha.luna,15,1,0.0211,2.832,45.2,0.0452
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Picker,tha.luna,12,1,0.0211,2.832,24.0,0.0240
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Picker,tha.luna,10,7,0.0211,2.832,14.3,0.1003
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Anthiidae,Planktivore,psa.squa,7,72,0.0137,3.149,6.3,0.4521
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Anthiidae,Planktivore,psa.squa,8,67,0.0137,3.149,9.6,0.6407
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Anthiidae,Planktivore,psa.squa,10,18,0.0137,3.149,19.3,0.3475
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Picker,bod.dian,12,1,0.0108,3.173,28.7,0.0287
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Picker,bod.dian,14,1,0.0108,3.173,46.8,0.0468
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Planktivore,cir.aura,8,45,0.0226,2.793,7.5,0.3386
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Anthiidae,Planktivore,psa.hutc,6,120,0.0137,3.149,3.9,0.4638
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Anthiidae,Planktivore,psa.hutc,9,6,0.0137,3.149,13.9,0.0831
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Picker,hal.hort,12,1,0.016,2.987,26.8,0.0268
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Picker,hal.hort,10,2,0.016,2.987,15.5,0.0311
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Picker,hal.hort,8,1,0.016,2.987,8.0,0.0080
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Labridae,Picker,hal.mage,8,8,0.0093,3.262,8.2,0.0657
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Pomacentridae,Grazer,pgy.lacr,8,3,0.0395,2.989,19.8,0.0593
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Pomacentridae,Grazer,pgy.lacr,9,9,0.0395,2.989,28.1,0.2530
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Pomacentridae,Grazer,pgy.lacr,10,2,0.0395,2.989,38.5,0.0770
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Pomacentridae,Planktivore,pom.lepi,7,8,0.0215,3.21,11.1,0.0888
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Pomacentridae,Planktivore,pom.auri,7,18,0.028,3.024,10.1,0.1811
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Pomacentridae,Grazer,pom.bank,7,8,0.028,3.024,10.1,0.0805
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Pomacentridae,Planktivore,pom.coel,6,8,0.028,3.024,6.3,0.0505
Adara,Site 1,03/12/16,2016,1130,5-10m,2,1,Pomacentridae,Planktivore,chr.lepi,6,8,0.0185,3.238,6.1,0.0490
